rank,priority,venue,sponsor,sponsor_center_count,address,borough,zip,phone,type,dfta_id,status,date_contacted,booking_contact,email,website,notes
248,HIGH,PSS HIGHBRIDGE,PRESBYTERIAN SENIOR SERVICES,10,1181 Nelson Avenue,Bronx,10452,718-588-3004,Senior Center (DFTA),W1908,,,,,,Sponsor: PRESBYTERIAN SENIOR SERVICES | Hours: 08:00-04:00 Mon-Fri
249,HIGH,PSS HIGHBRIDGE GARDENS,PRESBYTERIAN SENIOR SERVICES,10,1145 University Avenue,Bronx,10452,347-918-9185,Senior Center (DFTA),W1909,,,,,,Sponsor: PRESBYTERIAN SENIOR SERVICES | Hours: 08:00-04:00 Mon-Fri
250,HIGH,PSS MORRISANIA AIR RIGHTS,PRESBYTERIAN SENIOR SERVICES,10,3135 Park Avenue,Bronx,10451,718-992-2528,Senior Center (DFTA),W1904,,,,,,Sponsor: PRESBYTERIAN SENIOR SERVICES | Hours: 08:00-04:00 Mon-Fri
251,HIGH,PSS PARKSIDE,PRESBYTERIAN SENIOR SERVICES,10,644 Adee Avenue,Bronx,10467,718-881-7780,Senior Center (DFTA),W1901,,,,,,Sponsor: PRESBYTERIAN SENIOR SERVICES | Hours: 08:00-04:00 Mon-Fri
252,HIGH,RAIN BOSTON EAST OAC,REGIONAL AID FOR INTERIM NEEDS INC,10,3450 Boston Road,Bronx,10469,718-654-9200,Senior Center (DFTA),C5801,,,,Info@RainInc.org,https://www.raininc.org,Sponsor: REGIONAL AID FOR INTERIM NEEDS INC | Hours: 08:00-06:00 Mon-Fri
253,HIGH,RAIN BOSTON ROAD OAC,REGIONAL AID FOR INTERIM NEEDS INC,10,2424 Boston Road,Bronx,10467,718547-8827,Senior Center (DFTA),C5802,,,,Info@RainInc.org,https://www.raininc.org,Sponsor: REGIONAL AID FOR INTERIM NEEDS INC | Hours: 08:00-04:00 Mon-Fri
254,HIGH,RAIN BOSTON SECOR OAC,REGIONAL AID FOR INTERIM NEEDS INC,10,3540 Bivona Street,Bronx,10475,718-671-8550,Senior Center (DFTA),C5803,,,,Info@RainInc.org,https://www.raininc.org,Sponsor: REGIONAL AID FOR INTERIM NEEDS INC | Hours: 08:00-04:00 Mon-Fri
255,HIGH,RAIN EASTCHESTER LATIN SOUL CAFÉ OAC,REGIONAL AID FOR INTERIM NEEDS INC,10,1246 Burke Avenue,Bronx,10469,718-882-8513,Senior Center (DFTA),C5804,,,,Info@RainInc.org,https://www.raininc.org,Sponsor: REGIONAL AID FOR INTERIM NEEDS INC | Hours: 08:00-04:00 Mon-Fri
256,HIGH,RAIN GUNHILL OAC,REGIONAL AID FOR INTERIM NEEDS INC,10,3377 White Plains Road,Bronx,10462,718-881-5589,Senior Center (DFTA),C5805,,,,Info@RainInc.org,https://www.raininc.org,Sponsor: REGIONAL AID FOR INTERIM NEEDS INC | Hours: 08:00-04:00 Mon-Fri
257,HIGH,RAIN MIDDLETOWN OAC,REGIONAL AID FOR INTERIM NEEDS INC,10,3035 Middletown Road,Bronx,10461,718-822-0486,Senior Center (DFTA),C5807,,,,Info@RainInc.org,https://www.raininc.org,Sponsor: REGIONAL AID FOR INTERIM NEEDS INC | Hours: 08:00-04:00 Mon-Fri
258,HIGH,RAIN MT. CARMEL OAC,REGIONAL AID FOR INTERIM NEEDS INC,10,2405 Southern Boulevard,Bronx,10462,718-733-8852,Senior Center (DFTA),C5808,,,,Info@RainInc.org,https://www.raininc.org,Sponsor: REGIONAL AID FOR INTERIM NEEDS INC | Hours: 08:00-04:00 Mon-Fri
259,HIGH,RAIN NEREID OAC,REGIONAL AID FOR INTERIM NEEDS INC,10,720 Nereid Avenue,Bronx,10466,718-994-0132,Senior Center (DFTA),C5809,,,,Info@RainInc.org,https://www.raininc.org,Sponsor: REGIONAL AID FOR INTERIM NEEDS INC | Hours: 08:00-04:00 Mon-Fri
260,HIGH,RAIN PARKCHESTER OAC,REGIONAL AID FOR INTERIM NEEDS INC,10,1380 Metropolitan Avenue,Bronx,10462,718-597-9220,Senior Center (DFTA),C5810,,,,Info@RainInc.org,https://www.raininc.org,Sponsor: REGIONAL AID FOR INTERIM NEEDS INC | Hours: 08:00-04:00 Mon-Fri
261,HIGH,JASA BARTOW (COOP CITY NSC),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,18,2049 Bartow Avenue,Bronx,10475,718-320-2066,Senior Center (DFTA),W2201,,,,help@jasa.org,https://www.jasa.org,Sponsor: THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED | Hours: 10:00-06:00 Mon-Fri
262,HIGH,JASA BAY EDEN OLDER ADULT CENTER,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,18,1220 East 229th Street,Bronx,10466,718-882-3815,Senior Center (DFTA),C8302,,,,help@jasa.org,https://www.jasa.org,Sponsor: THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED | Hours: 08:00-04:00 Mon-Fri
263,HIGH,JASA DREISER,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,18,177 Dreiser Loop 2nd Flr.,Bronx,10475,718-320-1345,Senior Center (DFTA),W2202,,,,help@jasa.org,https://www.jasa.org,Sponsor: THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED | Hours: 08:00-04:00 Mon-Fri
264,HIGH,JASA EINSTEIN,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,18,135 EINSTEIN LOOP,Bronx,10475,718-320-2066,Senior Center (DFTA),W2203,,,,help@jasa.org,https://www.jasa.org,Sponsor: THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED | Hours: 08:00-04:00 Mon-Fri
265,HIGH,JASA SUE GINSBURG,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,18,975 Waring Avenue,Bronx,10469,718-881-1758,Senior Center (DFTA),C8303,,,,help@jasa.org,https://www.jasa.org,Sponsor: THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED | Hours: 08:00-04:00 Mon-Fri
266,HIGH,JASA THROGGS NECK OLDER ADULT CENTER,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,18,2705 Schley Avenue,Bronx,10465,718-823-1771,Senior Center (DFTA),C8309,,,,help@jasa.org,https://www.jasa.org,Sponsor: THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED | Hours: 07:00-03:00 Mon-Fri
267,HIGH,JASA VAN CORTLANDT OLDER ADULT CENTER,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,18,185 W. 231st Street,Bronx,10463,718-549-4700,Senior Center (DFTA),C8310,,,,help@jasa.org,https://www.jasa.org,Sponsor: THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED | Hours: 09:00-05:00 Mon-Fri
268,MEDIUM,BRONXWORKS CAROLYN MCLAUGHLIN COMMUNITY CENTER -CONCOURSE OAC,BRONXWORKS INC,7,1130 Grand Concourse,Bronx,10455,718-508-3040,Senior Center (DFTA),C1101,,,,press@bronxworks.org,https://bronxworks.org,Sponsor: BRONXWORKS INC | Hours: 09:00-05:00 Mon-Fri
269,MEDIUM,BRONXWORKS E. ROBERTS MOORE OAC,BRONXWORKS INC,7,515 Jackson Avenue,Bronx,10455,718-665-5559,Senior Center (DFTA),C1102,,,,press@bronxworks.org,https://bronxworks.org,Sponsor: BRONXWORKS INC | Hours: 08:00-04:00 Mon-Fri
270,MEDIUM,BRONXWORKS EAST CONCOURSE (MY SPOT/MI RINCON OAC),BRONXWORKS INC,7,236 East Tremont Avenue,Bronx,10457,718-731-6300,Senior Center (DFTA),C1103,,,,press@bronxworks.org,https://bronxworks.org,Sponsor: BRONXWORKS INC | Hours: 08:00-04:00 Mon-Fri
271,MEDIUM,BRONXWORKS HEIGHTS SC,BRONXWORKS INC,7,200 West Tremont Avenue,Bronx,10453,718-299-0300,Senior Center (DFTA),C1104,,,,press@bronxworks.org,https://bronxworks.org,Sponsor: BRONXWORKS INC | Hours: 08:00-04:00 Mon-Fri
272,MEDIUM,BRONXWORKS MORRIS,BRONXWORKS INC,7,80 East 181st Street,Bronx,10453,718-933-5300,Senior Center (DFTA),C1106,,,,press@bronxworks.org,https://bronxworks.org,Sponsor: BRONXWORKS INC | Hours: 08:00-04:00 Mon-Fri
273,MEDIUM,BRONXWORKS SOUNDVIEW,BRONXWORKS INC,7,391 Bronx River Avenue,Bronx,10473,917-633-5951,Senior Center (DFTA),C1107,,,,press@bronxworks.org,https://bronxworks.org,Sponsor: BRONXWORKS INC | Hours: 08:00-04:00 Mon-Fri
274,MEDIUM,BRONXWORKS TWIN PARKS WEST,BRONXWORKS INC,7,355 EAST 183 Street,Bronx,10458,,Senior Center (DFTA),C1105,,,,press@bronxworks.org,https://bronxworks.org,Sponsor: BRONXWORKS INC | Hours: 08:00-04:00 Mon-Fri
275,MEDIUM,ARTURO SCHOMBURG,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY INC,6,1315 Franklin Avenue,Bronx,10456,718-842-6880,Senior Center (DFTA),W1606,,,,,https://iprhe.org,Sponsor: INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY INC | Hours: 08:00-04:00 Mon-Fri
276,MEDIUM,BETANCES,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY INC,6,401 St Anns Avenue,Bronx,10454,718-292-4922,Senior Center (DFTA),W1601,,,,,https://iprhe.org,Sponsor: INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY INC | Hours: 08:00-04:00 Mon-Fri
277,MEDIUM,BRONX RIVER,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY INC,6,1619 East 174 Street,Bronx,10472,718-617-6334,Senior Center (DFTA),W1602,,,,,https://iprhe.org,Sponsor: INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY INC | Hours: 08:00-04:00 Mon-Fri
278,MEDIUM,JAMES MONROE,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY INC,6,1780 Story Avenue,Bronx,10473,718-893-3484,Senior Center (DFTA),W1605,,,,,https://iprhe.org,Sponsor: INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY INC | Hours: 08:00-04:00 Mon-Fri
279,MEDIUM,SAGE BRONX CENTER AT CROTONA PRIDE HOUSE,SERVICES AND ADVOCACY FOR GAYLESBIANBISEXUAL AND TRANSGEND,4,1784 Prospect Avenue,Bronx,10457,929-458-2150,Senior Center (DFTA),C6901,,,,info@sageusa.org,https://www.sageusa.org,Sponsor: SERVICES AND ADVOCACY FOR GAYLESBIANBISEXUAL AND TRANSGEND | Hours: 08:00-04:00 Mon-Fri
280,MEDIUM,LEON OAC,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,4,735 East 152nd Street,Bronx,10455,718-708-6897,Senior Center (DFTA),C8402,,,,,,Sponsor: THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC | Hours: 08:30-04:30 Mon-Fri
281,MEDIUM,SHOPP CASA BORICUA,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,4,910 East 172 Street 1 Floor,Bronx,10460,718-542-0222,Senior Center (DFTA),W2301,,,,,,Sponsor: THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC | Hours: 09:00-05:00 Mon-Fri
282,MEDIUM,SHOPP SOUNDVIEW SOCIAL CLUB,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,4,1674 Seward Avenue,Bronx,10473,929-263-1182,Senior Center (DFTA),W2302,,,,,,Sponsor: THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC | Hours: 09:00-05:00 Mon-Fri
283,MEDIUM,THOMAS GUESS OAC,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,4,2070 Clinton Avenue,Bronx,10457,718-584-2357,Senior Center (DFTA),C8401,,,,,,Sponsor: THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC | Hours: 08:00-04:00 Mon-Fri
284,LOW,SISTER ANNUNCIATA BETHELL OAC,BEDFORD PARK MULTI-SERVICE CENTER FOR SENIOR CITIZENS INC,1,243 East 204th Street,Bronx,10458,718-365-3725,Senior Center (DFTA),C0701,,,,,,Sponsor: BEDFORD PARK MULTI-SERVICE CENTER FOR SENIOR CITIZENS INC | Hours: 08:30-04:30 Mon-Fri
285,LOW,BRONX HOUSE WEINBERG NEIGHBORHOOD SENIOR CENTER,BRONX HOUSE INC,1,990 Pelham Parkway South,Bronx,10461,718-792-1800,Senior Center (DFTA),C1001,,,,,,Sponsor: BRONX HOUSE INC | Hours: 08:30-04:30 Mon-Fri
286,LOW,MMCC-CDC OLDER ADULT CENTER MAIN BUILDING,CHILD DEVELOPMENT CENTER OF THE MOSHOLU-MONTEFIORE COMMMUNIT,2,3450 Dekalb Avenue,Bronx,10467,718-798-6601,Senior Center (DFTA),C2002,,,,,,Sponsor: CHILD DEVELOPMENT CENTER OF THE MOSHOLU-MONTEFIORE COMMMUNIT | Hours: 08:30-04:30 Mon-Fri
287,LOW,MMCC-CDC OLDER ADULT CENTER MARBLE HILL,CHILD DEVELOPMENT CENTER OF THE MOSHOLU-MONTEFIORE COMMMUNIT,2,5365 Broadway,Bronx,10463,718-562-8551,Senior Center (DFTA),C2003,,,,,,Sponsor: CHILD DEVELOPMENT CENTER OF THE MOSHOLU-MONTEFIORE COMMMUNIT | Hours: 08:30-04:30 Mon-Fri
288,LOW,EAST SIDE HOUSE BORINQUEN COURT MITCHEL OAC,EAST SIDE HOUSE INC,3,295 East 138 Street,Bronx,10454,718-665-2168,Senior Center (DFTA),C3101,,,,info@eastsidehouse.org,https://www.eastsidehouse.org,Sponsor: EAST SIDE HOUSE INC | Hours: 08:30-04:30 Mon-Fri
289,LOW,EAST SIDE HOUSE MELROSE OLDER ADULT CENTER,EAST SIDE HOUSE INC,3,372 E152 Street,Bronx,10455,718-665-2280,Senior Center (DFTA),C3102,,,,info@eastsidehouse.org,https://www.eastsidehouse.org,Sponsor: EAST SIDE HOUSE INC | Hours: 08:00-04:00 Mon-Fri
290,LOW,PATTERSON OLDER ADULT CENTERS,EAST SIDE HOUSE INC,3,308 E 145 Street,Bronx,10451,718-993-5146,Senior Center (DFTA),C3103,,,,info@eastsidehouse.org,https://www.eastsidehouse.org,Sponsor: EAST SIDE HOUSE INC | Hours: 08:30-04:30 Mon-Fri
291,LOW,HOPE OF ISRAEL SENIOR CITIZENS CENTER,HOPE OF ISRAEL SENIOR CITIZENS CENTER INC,1,1068 Gerard Avenue,Bronx,10452,718-665-8400,Senior Center (DFTA),C4301,,,,,,Sponsor: HOPE OF ISRAEL SENIOR CITIZENS CENTER INC | Hours: 09:00-05:00 Mon-Fri
292,LOW,KIPS BAY CASTLE HILL OAC,KIPS BAY BOYS AND GIRLS CLUB,1,625 Castle Hill Avenue,Bronx,10473,718-319-9156,Senior Center (DFTA),C4801,,,,,,Sponsor: KIPS BAY BOYS AND GIRLS CLUB | Hours: 08:00-04:00 Mon-Fri
293,LOW,MBSCC CONCOURSE PLAZA WELLNESS CENTER FOR OLDER ADULTS,MID BRONX SENIOR CITIZENS COUNCIL INC,1,900 Grand Concourse,Bronx,10451,718-588-8200,Senior Center (DFTA),C5001,,,,,,Sponsor: MID BRONX SENIOR CITIZENS COUNCIL INC | Hours: 09:00-07:00 Mon-Fri
294,LOW,NORTHEAST BRONX,NORTHEAST BRONX SENIOR CITIZENS INC,1,2968 Bruckner Blvd,Bronx,10465,718-892-6090,Senior Center (DFTA),C5201,,,,,,Sponsor: NORTHEAST BRONX SENIOR CITIZENS INC | Hours: 08:00-04:00 Mon-Fri
295,LOW,RSS CENTER FOR AGELESS LIVING,RIVERDALE SENIOR SERVICES INC,1,2600 Netherland Avenue,Bronx,10463,718-884-5900,Senior Center (DFTA),C6101,,,,,,Sponsor: RIVERDALE SENIOR SERVICES INC | Hours: 08:00-05:00 Mon-Fri
296,LOW,SEBCO SENIOR CENTER,SEBCO DEVELOPMENT INC,1,887 Southern Boulevard,Bronx,10459,718-617-3465,Senior Center (DFTA),C6701,,,,,,Sponsor: SEBCO DEVELOPMENT INC | Hours: 08:00-04:00 Mon-Fri
297,LOW,MILL BROOK OAC,WEST SIDE FEDERATION FOR SENIOR AND SUPPORTIVE HOUSING INC,2,570 East 137th street,Bronx,10454,646-214-2450,Senior Center (DFTA),C9103,,,,info@wsfssh.org,https://wsfssh.org,Sponsor: WEST SIDE FEDERATION FOR SENIOR AND SUPPORTIVE HOUSING INC | Hours: 08:30-04:00 Mon-Fri
298,LOW,WILLIAM HODSON OLDER ADULT CENTER,WILLIAM HODSON COMMUNITY CENTER INC,1,1320 Webster Avenue,Bronx,10456,718-538-1515,Senior Center (DFTA),C9201,,,,,,Sponsor: WILLIAM HODSON COMMUNITY CENTER INC | Hours: 08:00-04:00 Mon-Fri
299,LOW,NEW BEGINNINGS (RIVERDALE Y),YM YWHA OF THE BRONX dba RIVERDALE YM YWHA,1,5625 Arlington Avenue,Bronx,10471,718-548-8200,Senior Center (DFTA),C9701,,,,,,Sponsor: YM YWHA OF THE BRONX dba RIVERDALE YM YWHA | Hours: 08:00-05:00 Mon-Fri
300,LOW,YMCA - GLEBE OLDER ADULT COMMUNITY HUB,YMCA OF GREATER NEW YORK,2,2125 Glebe Avenue,Bronx,10462,212-912-2490,Senior Center (DFTA),C9301,,,,info@ymcanyc.org,https://ymcanyc.org,Sponsor: YMCA OF GREATER NEW YORK | Hours: 08:00-04:00 Mon-Fri
301,MEDIUM,ARROCHAR,STATEN ISLAND COMMUNITY SERVICES FRIENDSHIP CLUBS INC,5,44 Bionia Avenue,Staten Island,10305,718-698-7979,Senior Center (DFTA),C7702,,,,,,Sponsor: STATEN ISLAND COMMUNITY SERVICES FRIENDSHIP CLUBS INC | Hours: 08:00-04:00 Mon-Fri
302,MEDIUM,GREAT KILLS OAC,STATEN ISLAND COMMUNITY SERVICES FRIENDSHIP CLUBS INC,5,11 Sampson Avenue,Staten Island,10308,718-356-5050,Senior Center (DFTA),C7701,,,,,,Sponsor: STATEN ISLAND COMMUNITY SERVICES FRIENDSHIP CLUBS INC | Hours: 08:00-04:00 Mon-Fri
303,MEDIUM,MOUNT LORETTO OAC,STATEN ISLAND COMMUNITY SERVICES FRIENDSHIP CLUBS INC,5,6581 Hylan Boulevard,Staten Island,10309,718-984-8589,Senior Center (DFTA),C7703,,,,,,Sponsor: STATEN ISLAND COMMUNITY SERVICES FRIENDSHIP CLUBS INC | Hours: 08:00-04:00 Mon-Fri
304,MEDIUM,NEW DORP BEACH OAC,STATEN ISLAND COMMUNITY SERVICES FRIENDSHIP CLUBS INC,5,128 Cedar Grove Avenue,Staten Island,10306,TBD,Senior Center (DFTA),C7704,,,,,,Sponsor: STATEN ISLAND COMMUNITY SERVICES FRIENDSHIP CLUBS INC | Hours: 09:00-05:00 Mon-Fri
305,MEDIUM,TODT HILL OAC,STATEN ISLAND COMMUNITY SERVICES FRIENDSHIP CLUBS INC,5,184 SCHMIDTS LANE,Staten Island,10314,718-698-7979,Senior Center (DFTA),C7705,,,,,,Sponsor: STATEN ISLAND COMMUNITY SERVICES FRIENDSHIP CLUBS INC | Hours: 08:00-04:00 Mon-Fri
306,LOW,ANDERSON NEIGHBORHOOD SENIOR CENTER,CATHOLIC CHARITIES OF STATEN ISLAND INC.,2,120 Anderson Avenue,Staten Island,10302,718-448-5757,Senior Center (DFTA),C1801,,,,,,Sponsor: CATHOLIC CHARITIES OF STATEN ISLAND INC. | Hours: 07:00-03:00 Mon-Fri
307,LOW,WEST BRIGHTON NEIGHBORHOOD SENIOR CENTER,CATHOLIC CHARITIES OF STATEN ISLAND INC.,2,230 Broadway,Staten Island,10310,718-727-9793,Senior Center (DFTA),C1802,,,,,,Sponsor: CATHOLIC CHARITIES OF STATEN ISLAND INC. | Hours: 08:00-04:00 Mon-Fri
308,LOW,CASC CASSIDY COLES NSC,COMMUNITY AGENCY FOR SENIOR CITIZENS INC,2,125 Cassidy Place,Staten Island,10301,718-273-6808,Senior Center (DFTA),C2201,,,,,,Sponsor: COMMUNITY AGENCY FOR SENIOR CITIZENS INC | Hours: 08:00-04:00 Mon-Fri
309,LOW,CASC NEW LANE NSC,COMMUNITY AGENCY FOR SENIOR CITIZENS INC,2,70 New Lane,Staten Island,10301,718-448-5936,Senior Center (DFTA),C2202,,,,,,Sponsor: COMMUNITY AGENCY FOR SENIOR CITIZENS INC | Hours: 08:00-04:00 Mon-Fri
310,LOW,AVIS SOUTH SHORE OAC,JEWISH COMMUNITY CENTER OF STATEN ISLAND INC,3,1297 Arthur Kill Road,Staten Island,10312,718-475-5283,Senior Center (DFTA),W1702,,,,,,Sponsor: JEWISH COMMUNITY CENTER OF STATEN ISLAND INC | Hours: 08:00-04:00 Mon-Fri
311,LOW,BERNIKOW OAC,JEWISH COMMUNITY CENTER OF STATEN ISLAND INC,3,1466 Manor Road,Staten Island,10314,718-475-5284,Senior Center (DFTA),W1701,,,,,,Sponsor: JEWISH COMMUNITY CENTER OF STATEN ISLAND INC | Hours: 09:00-05:00 Mon-Fri
312,LOW,STAPELTON OAC,JEWISH COMMUNITY CENTER OF STATEN ISLAND INC,3,189 Gordon Street,Staten Island,10304,718-981-8828,Senior Center (DFTA),W1703,,,,,,Sponsor: JEWISH COMMUNITY CENTER OF STATEN ISLAND INC | Hours: 08:00-04:00 Mon-Fri
