venue,sponsor,address,borough,zip,phone,type,dfta_id,status,date_contacted,booking_contact,email,notes
ROBERT COUCHE OLDER ADULT CENTER,MERRILL PARK CIVIC ASSOCIATION OF SPRINGFIELD GARDENS INC,137-57 Farmers Boulevard,Queens,11434,718-978-8352,Senior Center (DFTA),CC301,,,,,Sponsor: MERRILL PARK CIVIC ASSOCIATION OF SPRINGFIELD GARDENS INC | Hours: 09:00-05:00 Mon-Fri
ROCHDALE VILLAGE SC,ROCHDALE VILLAGE SOCIAL SERVICES INC,169-65 137th Avenue,Queens,11434,718-525-2800,Senior Center (DFTA),C6301,,,,,Sponsor: ROCHDALE VILLAGE SOCIAL SERVICES INC | Hours: 09:00-05:00 Mon-Fri
SAM FIELD OLDER ADULT CENTER,COMMONPOINT QUEENS,58-20 Little Neck Pkwy,Queens,11362,718-225-6750,Senior Center (DFTA),C6501,,,,,Sponsor: COMMONPOINT QUEENS | Hours: 09:00-04:00 Mon-Fri
SAMUEL FIELD Y BAY TERRACE OLDER ADULT CENTER,COMMONPOINT QUEENS,21200 23rd Avenue,Queens,11360,718-225-4253,Senior Center (DFTA),C6502,,,,,Sponsor: COMMONPOINT QUEENS | Hours: 08:00-04:00 Mon-Fri
SELFHELP AUSTIN ST,SELFHELP COMMUNITY SERVICES INC,106-06 Queens Boulevard,Queens,11375,718-520-8197,Senior Center (DFTA),W2101,,,,,Sponsor: SELFHELP COMMUNITY SERVICES INC | Hours: 08:30-04:30 Mon-Fri
SELFHELP BENJAMIN ROSENTHAL,SELFHELP COMMUNITY SERVICES INC,45-25 Kissena Boulevard,Queens,11355,718-886-5777,Senior Center (DFTA),W2102,,,,,Sponsor: SELFHELP COMMUNITY SERVICES INC | Hours: 08:30-04:00 Mon-Fri
SELFHELP CLEARVIEW,SELFHELP COMMUNITY SERVICES INC,208-11 26th Avenue,Queens,11360,718-224-7888,Senior Center (DFTA),W2103,,,,,Sponsor: SELFHELP COMMUNITY SERVICES INC | Hours: 08:30-04:00 Mon-Fri
SELFHELP LATIMER,SELFHELP COMMUNITY SERVICES INC,34-30 137th Street,Queens,11354,718-961-3660,Senior Center (DFTA),W2104,,,,,Sponsor: SELFHELP COMMUNITY SERVICES INC | Hours: 08:30-04:00 Mon-Fri
SELFHELP MASPETH,SELFHELP COMMUNITY SERVICES INC,69-61 Grand Avenue,Queens,11378,718-429-3636,Senior Center (DFTA),W2105,,,,,Sponsor: SELFHELP COMMUNITY SERVICES INC | Hours: 08:30-04:00 Mon-Fri
SNAP #1: EASTERN QUEENS OAC,SERVICES NOW FOR ADULT PERSONS INC,80-45 Winchester Blvd Bldg. 4,Queens,11427,718-525-8899,Senior Center (DFTA),C7001,,,,,Sponsor: SERVICES NOW FOR ADULT PERSONS INC | Hours: 08:30-04:30 Mon-Fri
SNAP #2: BROOKVILLE OAC,SERVICES NOW FOR ADULT PERSONS INC,133-33 Brookville Boulevard,Queens,11422,718-454-2100,Senior Center (DFTA),C7002,,,,,Sponsor: SERVICES NOW FOR ADULT PERSONS INC | Hours: 08:30-04:30 Mon-Fri
SUNNYSIDE COMMUNITY SERVICES OAC,SUNNYSIDE COMMUNITY SERVICES INC,43-39 39th Street,Queens,11104,718-784-6173,Senior Center (DFTA),C7901,,,,,Sponsor: SUNNYSIDE COMMUNITY SERVICES INC | Hours: 08:30-04:30 Mon-Fri
WOODSIDE OLDER ADULT CENTER,SAMARITAN DAYTOP VILLAGE INC,50-37 Newtown Road,Queens,11377,718-932-6916,Senior Center (DFTA),C6401,,,,,Sponsor: SAMARITAN DAYTOP VILLAGE INC | Hours: 07:45-03:45 Mon-Fri
WOODSIDE OLDER ADULT CENTER,SAMARITAN DAYTOP VILLAGE INC,50-37 Newtown Road,Queens,11377,718-206-2000,Senior Center (DFTA),3TB01,,,,,Sponsor: SAMARITAN DAYTOP VILLAGE INC | Hours: - Mon-Fri
YOUNG ISRAEL PROGRAMS FOREST HILLS,YOUNG ISRAEL PROGRAMS INC,68-07 Burns Street,Queens,11375,718-520-2305,Senior Center (DFTA),C9401,,,,,Sponsor: YOUNG ISRAEL PROGRAMS INC | Hours: 08:00-04:00 Mon-Fri
YOUNG ISRAEL PROGRAMS QUEENS VALLEY II,YOUNG ISRAEL PROGRAMS INC,141-55 77th Avenue,Queens,11367,718-263-6995,Senior Center (DFTA),C9403,,,,,Sponsor: YOUNG ISRAEL PROGRAMS INC | Hours: 08:00-04:00 Mon-Fri
YOUNG ISRAEL WAVECREST & BAYSWATER SENIOR LEAGUE,YOUNG ISRAEL PROGRAMS INC,2716 Healy Avenue,Queens,11691,718-327-0297,Senior Center (DFTA),C9404,,,,,Sponsor: YOUNG ISRAEL PROGRAMS INC | Hours: 08:00-04:00 Mon-Fri
ANDERSON NEIGHBORHOOD SENIOR CENTER,CATHOLIC CHARITIES OF STATEN ISLAND INC.,120 Anderson Avenue,Staten Island,10302,718-448-5757,Senior Center (DFTA),C1801,,,,,Sponsor: CATHOLIC CHARITIES OF STATEN ISLAND INC. | Hours: 07:00-03:00 Mon-Fri
ARROCHAR,STATEN ISLAND COMMUNITY SERVICES FRIENDSHIP CLUBS INC,44 Bionia Avenue,Staten Island,10305,718-698-7979,Senior Center (DFTA),C7702,,,,,Sponsor: STATEN ISLAND COMMUNITY SERVICES FRIENDSHIP CLUBS INC | Hours: 08:00-04:00 Mon-Fri
AVIS SOUTH SHORE OAC,JEWISH COMMUNITY CENTER OF STATEN ISLAND INC,1297 Arthur Kill Road,Staten Island,10312,718-475-5283,Senior Center (DFTA),W1702,,,,,Sponsor: JEWISH COMMUNITY CENTER OF STATEN ISLAND INC | Hours: 08:00-04:00 Mon-Fri
BERNIKOW OAC,JEWISH COMMUNITY CENTER OF STATEN ISLAND INC,1466 Manor Road,Staten Island,10314,718-475-5284,Senior Center (DFTA),W1701,,,,,Sponsor: JEWISH COMMUNITY CENTER OF STATEN ISLAND INC | Hours: 09:00-05:00 Mon-Fri
CASC CASSIDY COLES NSC,COMMUNITY AGENCY FOR SENIOR CITIZENS INC,125 Cassidy Place,Staten Island,10301,718-273-6808,Senior Center (DFTA),C2201,,,,,Sponsor: COMMUNITY AGENCY FOR SENIOR CITIZENS INC | Hours: 08:00-04:00 Mon-Fri
CASC NEW LANE NSC,COMMUNITY AGENCY FOR SENIOR CITIZENS INC,70 New Lane,Staten Island,10301,718-448-5936,Senior Center (DFTA),C2202,,,,,Sponsor: COMMUNITY AGENCY FOR SENIOR CITIZENS INC | Hours: 08:00-04:00 Mon-Fri
GREAT KILLS OAC,STATEN ISLAND COMMUNITY SERVICES FRIENDSHIP CLUBS INC,11 Sampson Avenue,Staten Island,10308,718-356-5050,Senior Center (DFTA),C7701,,,,,Sponsor: STATEN ISLAND COMMUNITY SERVICES FRIENDSHIP CLUBS INC | Hours: 08:00-04:00 Mon-Fri
MOUNT LORETTO OAC,STATEN ISLAND COMMUNITY SERVICES FRIENDSHIP CLUBS INC,6581 Hylan Boulevard,Staten Island,10309,718-984-8589,Senior Center (DFTA),C7703,,,,,Sponsor: STATEN ISLAND COMMUNITY SERVICES FRIENDSHIP CLUBS INC | Hours: 08:00-04:00 Mon-Fri
NEW DORP BEACH OAC,STATEN ISLAND COMMUNITY SERVICES FRIENDSHIP CLUBS INC,128 Cedar Grove Avenue,Staten Island,10306,TBD,Senior Center (DFTA),C7704,,,,,Sponsor: STATEN ISLAND COMMUNITY SERVICES FRIENDSHIP CLUBS INC | Hours: 09:00-05:00 Mon-Fri
STAPELTON OAC,JEWISH COMMUNITY CENTER OF STATEN ISLAND INC,189 Gordon Street,Staten Island,10304,718-981-8828,Senior Center (DFTA),W1703,,,,,Sponsor: JEWISH COMMUNITY CENTER OF STATEN ISLAND INC | Hours: 08:00-04:00 Mon-Fri
TODT HILL OAC,STATEN ISLAND COMMUNITY SERVICES FRIENDSHIP CLUBS INC,184 SCHMIDTS LANE,Staten Island,10314,718-698-7979,Senior Center (DFTA),C7705,,,,,Sponsor: STATEN ISLAND COMMUNITY SERVICES FRIENDSHIP CLUBS INC | Hours: 08:00-04:00 Mon-Fri
WEST BRIGHTON NEIGHBORHOOD SENIOR CENTER,CATHOLIC CHARITIES OF STATEN ISLAND INC.,230 Broadway,Staten Island,10310,718-727-9793,Senior Center (DFTA),C1802,,,,,Sponsor: CATHOLIC CHARITIES OF STATEN ISLAND INC. | Hours: 08:00-04:00 Mon-Fri
