rank,festival,date,venue,location,state,phone,website,status,booking_contact,email,notes
570,Deer Lake Park Festival Lawn,604.294.7944,,"Unionville, Canada",Canada,647.983.7777,www.burnabybluesfestival.com,,,,From Living Blues Festival Guide 2026
571,Tim Hortons Southside Shuffle Blues and,"September 11-13, 2026",Jazz Festival,"Port Credit, Canada",Canada,416.770.4374,www.southsideshuffle.ca,,,,From Living Blues Festival Guide 2026
572,"Belleville, Ontario","September 15-20, 2026",downtownblues.ca,Harvest Music Festival,Canada,506.454.2583,,,,,From Living Blues Festival Guide 2026
573,"September 18-20, 2026",,wasagabeachblues.com,"Wasaga Beach, Canada",Canada,,,,,,From Living Blues Festival Guide 2026
574,Donnelly’s Pub,905.227.1947,,"Thorold, Tba",Tba,,www.canalbankshuffle.com,,,,From Living Blues Festival Guide 2026
575,Loreto International Blues Festival,"March 14, 2026",,"San Miguel de Allende, Mexico",Mexico,,www.sanmigueljazz.com.mx,,,,From Living Blues Festival Guide 2026
576,The Unity Fest by Tequila Rock ’n Blues,"January 21-24 & February 26, 2027",Explosion,"Zihua & Ixtapa, Mexico",Mexico,,,,,,From Living Blues Festival Guide 2026
577,"San Cristóbal de las Casas, Chiapas,",,Mexico,jazzandrhythmsfestival,Tba,,www.facebook.com/,,,,From Living Blues Festival Guide 2026
578,"San Felipe, Baja California, Mexico",442.456.2444,,bluesandarts.org,Tba,,,,,,From Living Blues Festival Guide 2026
579,Mustique Blues Festival,"January 21-February 4, 2026",,"April 2-4, Caribbean",Caribbean,784.488.8350,,,,,From Living Blues Festival Guide 2026
580,Pietermaai District,"April 25-May 8, 2026",curacaoblueseasfestival.com,"Willemstad, Caribbean",Caribbean,,www.saintluciajazzandartsfestival.com,,,,From Living Blues Festival Guide 2026
581,"May 20-25, 2026","May 22-25, 2026",Curaçao,soulbeach.netFestival Terre de Blues,Caribbean,,www.terredeblues.com,,,,From Living Blues Festival Guide 2026
582,"Montego Bay, Jamaica",,Jamaica Ocho Rios Jazz Festival,Caribbean,Caribbean,,www.bluesjamaicagetaway2026.com,,,,From Living Blues Festival Guide 2026
583,"Ocho Rios, Jamaica",,JamaicaOchoRiosInternationalJazzFestival,Tba,Tba,,www.facebook.com/,,,,From Living Blues Festival Guide 2026
584,Costa Rica Blues Festival,"February 21, 2026",costaricablues.com,"Grecia, Central America",Central America,,,,,,From Living Blues Festival Guide 2026
585,Muddy Roots Brasil,"May 1-2, 2026",,"Ribeirão Preto, South America",South America,,www.muddyroots.com,,,,From Living Blues Festival Guide 2026
586,Rio das Ostras Jazz & Blues Festival,"June 4-7, 2026",,"Buenos Aires, South America",South America,,www.muddyroots.com,,,,From Living Blues Festival Guide 2026
587,Best of Blues and Rock,,,South America,South America,,,,,,From Living Blues Festival Guide 2026
588,"São Paulo, Brazil",,ViJazz & Blues Festival,Tba,Tba,,www.bestofbluesandrock.com.br,,,,From Living Blues Festival Guide 2026
589,"Viçosa, Minas Gerais, Brazil",,Blues & Folk Festival,Tba,Tba,,www.vijazz.com.br,,,,From Living Blues Festival Guide 2026
590,"Cali, Colombia",,,Tba,Tba,,www.colomboamericano.edu.co,,,,From Living Blues Festival Guide 2026
591,Pakkasukko Blues N’ Jazz,"February 4-8, 2026",,"Vila do Conde, Tba",Tba,,www.pakkasukkobluesnjazz.com,,,,From Living Blues Festival Guide 2026
592,Terri’Thouars Blues Festival,"March 25-29, 2026",+33.06.82.15.35.19,"Thouars, Tba",Tba,,www.blues-n-co.org,,,,From Living Blues Festival Guide 2026
593,"Inverness, Scotland, United Kingdom","April 8, 2026",invernessbluesfestival.com,UK Blues Awards,Tba,,www.ukblues.org,,,,From Living Blues Festival Guide 2026
594,"April 23-26, 2026",,United Kingdom,"Stromness, Tba",Tba,,www.solidentertainments.com,,,,From Living Blues Festival Guide 2026
595,Arran Rock ‘n’ Blues Festival,"May 1-3, 2026",Kingdom,"Brodick, Tba",Tba,,,,,,From Living Blues Festival Guide 2026
596,"May 8-9, 2026",,Geneva Blues Festival,"Kwadendamme, Tba",Tba,,www.bagblues.ch,,,,From Living Blues Festival Guide 2026
597,Breda Jazz Festival,"May 14-17, 2026",+31.06.22.32.74.85,"Breda, Tba",Tba,,www.bredajazzfestival.nl,,,,From Living Blues Festival Guide 2026
598,Blues Festival Baden,"May 23-30, 2026",,"Eutin, Tba",Tba,,www.baltic-blues.de,,,,From Living Blues Festival Guide 2026
599,Mönsterås Blues & Roots Festival,"May 29-30, 2026",bluesfestivalen.se,"Mönsterås, Tba",Tba,,,,,,From Living Blues Festival Guide 2026
600,Benicàssim Blues Festival,"May 29-31, 2026",benicassimblues.wordpress.com,"Benicàssim, Tba",Tba,,www.duvelblues.be,,,,From Living Blues Festival Guide 2026
601,Blues Rules Crissier Festival,"June 5-6, 2026",,"Segovia, Tba",Tba,,www.blues-rules.com,,,,From Living Blues Festival Guide 2026
602,afrobluefestival.comLes Nuits Blues de Marnaz,"June 12-13, 2026",,"June 18-20, Tba",Tba,,www.lesnuitsbluesdemarnaz.fr,,,,From Living Blues Festival Guide 2026
603,"Sierre, Switzerland",,Holland International Blues Festival,Blackpool International Soul Festival,Tba,,www.hollandinternationalbluesfestival.com,,,,From Living Blues Festival Guide 2026
604,Winter Gardens Blackpool,,Torrita Blues Festival,"Blackpool, Tba",Tba,,www.torritablues.it,,,,From Living Blues Festival Guide 2026
605,JazzAscona,"June 25-July 4, 2026",,"Basel, Tba",Tba,,www.jazzascona.ch,,,,From Living Blues Festival Guide 2026
606,Cognac Blues Passions,"July 1-4, 2026",bluespassions.com,"Cognac, Tba",Tba,,www.facebook.com/BluesCazorla,,,,From Living Blues Festival Guide 2026
607,Skånevik Bluesfestival,"July 2-4, 2026",,"Dereham, Tba",Tba,,www.derehambluesfestival.org.uk,,,,From Living Blues Festival Guide 2026
608,R&B Blues Festival,"July 3, 2026",,"Madona, Tba",Tba,,www.rbbluesfestival.com,,,,From Living Blues Festival Guide 2026
609,"July 3-4, 2026",,Umbria Jazz,"Gaildorf, Tba",Tba,,www.umbriajazz.it,,,,From Living Blues Festival Guide 2026
610,Montreux Jazz Festival,"July 3-18, 2026",,"Guglionesi, Tba",Tba,,www.goodtimebluesfest.com,,,,From Living Blues Festival Guide 2026
611,Åmål’s Blues Fest,"July 9-11, 2026",+46.0.532.713.98,"Åmål, Tba",Tba,,,,,,From Living Blues Festival Guide 2026
612,"Birmingham, United Kingdom","July 10-August 6, 2026",mostlyjazz.co.uk,Vallemaggia Magic Blues Festival,Tba,,www.magicblues.ch,,,,From Living Blues Festival Guide 2026
613,Rustic Stomp Roots Festival,"July 17-19, 2026",,"Playa de San Agustín, Tba",Tba,,www.rusticstomp.co.uk,,,,From Living Blues Festival Guide 2026
614,"Tirajana, Spain",,ejbf.com.uk,"Edinburgh, Tba",Tba,,www.facebook.com/soulmaspalomasEdinburgh Jazz & Blues Festival,,,,From Living Blues Festival Guide 2026
615,"Porretta Terme, Italy","July 24-25, 2026",porrettasoulfestival.it,Thrill Blues Festival,Tba,,,,,,From Living Blues Festival Guide 2026
616,"July 24-26, 2026",,Birmingham Jazz & Blues Festival,"Bilbao, Tba",Tba,,www.birminghamjazzfestival.com,,,,From Living Blues Festival Guide 2026
617,Blues N’Rock @ Lake Moubra,"August 7-8, 2026",blues-lake-moubra.ch,"Crans-Montana, Tba",Tba,,www.howthrootsandblues.com,,,,From Living Blues Festival Guide 2026
618,Braşov Jazz & Blues Festival,"August 14-16, 2026",brasovjazz.ro,"Braşov, Tba",Tba,,www.swingwespelaar.be,,,,From Living Blues Festival Guide 2026
619,Campsoul Music Festival,"August 28-31, 2026",campsoulfestival.comHarvest Time Blues Festival,"Ardington, Tba",Tba,,www.harvestblues.ie,,,,From Living Blues Festival Guide 2026
620,Blues Heaven Festival,"October 2-3, 2026",bluesheaven.dk,"Frederikshavn, Tba",Tba,,,,,,From Living Blues Festival Guide 2026
621,CallanderJazzAndBl,"October 3, 2026",uesFestival,Rawa Blues Festival,Tba,,,,,,From Living Blues Festival Guide 2026
622,"November 6-7, 2026",,Palais du Littoral,"Grand-Synthe, Tba",Tba,,www.solidentertainments.com,,,,From Living Blues Festival Guide 2026
623,Blues sur Seine,"November 6-21, 2026",,"November 7, Tba",Tba,,www.blues-sur-seine.com,,,,From Living Blues Festival Guide 2026
624,"Freiburg, Germany",,Lucerne Blues Festival,Tba,Tba,,www.bluesfestival.ch,,,,From Living Blues Festival Guide 2026
625,"November 12-14, 2026",,Tenby Blues Festival,"Šumperk, Tba",Tba,,www.bluesalive.cz,,,,From Living Blues Festival Guide 2026
626,"December 4-6, 2026",,Kwadendamme Indoor Blues Festival,"Looe, Tba",Tba,,www.kwadendamme.com,,,,From Living Blues Festival Guide 2026
627,"January 22-24, 2027",,Imperial Hotel,"Blackpool, Tba",Tba,,www.solidentertain,,,,From Living Blues Festival Guide 2026
628,ments.com,"April 1-4, 2027",Nidaros Blues 2027,Royal Garden Hotel Trondheim,Tba,,,,,,From Living Blues Festival Guide 2026
629,"Bridgwater, United Kingdom",,Léman Blues Festival,Tba,Tba,,www.facebook.com/BBAFFUK,,,,From Living Blues Festival Guide 2026
630,"Annemasse, France",,Transilvania Blues Festival,Tba,Tba,,www.leman-blues-festival.com,,,,From Living Blues Festival Guide 2026
631,"Braşov, Romania",,transilvaniablues.ro,Freiburg Blues Festival,Tba,,,,,,From Living Blues Festival Guide 2026
632,"Florence, Italy","May 13-17, 2026",fabbricaeuropa.netAFRICA,Festival International Jazz de Saint-Louis,Tba,,www.saintlouisjazz.org,,,,From Living Blues Festival Guide 2026
633,"March 27-28, 2026",,STRAB – The Subterranean Rhythm &,"Cape Town, Tba",Tba,,www.capetownjazzfest.com,,,,From Living Blues Festival Guide 2026
634,Standard Bank Joy of Jazz Festival,"September 25-26, 2026",,"Ségou, Tba",Tba,,www.joyofjazz.co.za,,,,From Living Blues Festival Guide 2026
635,alsurleniger.org,,Jozi Blues Festival,Tba,Tba,,,,,,From Living Blues Festival Guide 2026
636,"Edenvale, South Africa",,joziblues.com,Festival Taragalte,Tba,,,,,,From Living Blues Festival Guide 2026
637,"M’Hamihd El Ghizlane, Morocco",,Ain Farba International Festival of Arts,and Culture,Tba,,www.taragalte.org,,,,From Living Blues Festival Guide 2026
638,"Ain Farba, Mauritania",,,Tba,Tba,,www.festival-au-desert.org,,,,From Living Blues Festival Guide 2026
639,Mahindra Blues Festival,"February 14-15, 2026",mahindrablues.com,"Bandra, South Asia",South Asia,,,,,,From Living Blues Festival Guide 2026
640,jazzmandu.orgSOUTHEAST ASIA,"May 29-31, 2026",Java Jazz Festival,"Nice, South Asia",South Asia,,www.javajazzfestival.com,,,,From Living Blues Festival Guide 2026
641,"Pai, Mae Hong Son, Thailand",,Festival-61553006306889,Borneo Jazz Festival,South Asia,,www.facebook.com/p/Pai-Jazz-Blues-,,,,From Living Blues Festival Guide 2026
642,"Miri, Malaysia",,jazzborneo.com,Tba,Tba,,,,,,From Living Blues Festival Guide 2026
643,Fuji Rock Festival,"July 24-26, 2026",,"Sendai, East Asia",East Asia,,www.fujirockfestival.com,,,,From Living Blues Festival Guide 2026
644,Korea Blues Camp 2026,"November 24-December 2, 2026",koreabluescamp.com,"Seoul, East Asia",East Asia,,,,,,From Living Blues Festival Guide 2026
645,"Tokyo, Japan",,bluenotejazzfestival.jp,Tba,Tba,,,,,,From Living Blues Festival Guide 2026
646,Thredbo Blues Festival,"January 16-18, 2026",thredboblues.com.au,"Thredbo, Australia",Australia,,,,,,From Living Blues Festival Guide 2026
647,"Kew, Victoria",,St. Kilda Blues Festival,stkildabluesfestival.com.au,Australia,,www.matsumura.com.au,,,,From Living Blues Festival Guide 2026
648,"February 27-March 1, 2026","March 13-15, 2026",Memorial Park,"The Entrance, Australia",Australia,,www.bmff.org.au,,,,From Living Blues Festival Guide 2026
649,"Blues, Brews & BBQ’s Music Festival","March 14, 2026",rocktheturf.com,"Tumut, Australia",Australia,,,,,,From Living Blues Festival Guide 2026
650,"Undara, Queensland",,undara/activities-and-attractions/rock-,and-blues,Australia,,www.discoveryholidayparks.com.au/,,,,From Living Blues Festival Guide 2026
651,Blues on Broadbeach,"May 14-17, 2026",bluesonbroadbeach.com,"Broadbeach, Australia",Australia,,,,,,From Living Blues Festival Guide 2026
652,Mitchell Creek Rock ‘N’ Blues Fest,"September 18-20, 2026",,"Bridgetown, Australia",Australia,,www.bluesatbridgetown.com.au,,,,From Living Blues Festival Guide 2026
653,Port Noarlunga Music Festival,"November 20-22, 2026",portnoarlungabluesfestival.com.au,"Port Noarlunga, Australia",Australia,,www.agnesbluesandroots.com.auRedlands Coast Blues Festival,,,,From Living Blues Festival Guide 2026
654,Redlands Showgrounds,,redlandbaysidebluesfestival2022,"Cleveland, Tba",Tba,,www.facebook.com/,,,,From Living Blues Festival Guide 2026
655,Blues on the Point Festival,"March 13, 2026",tasmanbayblues.co.nz,"Nelson, New Zealand",New Zealand,,,,,,From Living Blues Festival Guide 2026
656,harbourstreetfestival.com,"April 3-6, 2026",Waiheke Jazz & Blues Festival,"Waiheke Island, New Zealand",New Zealand,,www.waihekejazzfestival.co.nz,,,,From Living Blues Festival Guide 2026
657,boimusicfestivals.com,"May 22-31, 2026",Manawatū International Jazz & Blues,Festival,New Zealand,,www.mjc.org.nz,,,,From Living Blues Festival Guide 2026
658,"Rotorua, New Zealand",,bluesandbbq.co.nz,Blues & Jazz by the Sea,Tba,,,,,,From Living Blues Festival Guide 2026
659,"Taramea Bay, Riverton, New Zealand",,,Tba,Tba,,www.bluesandjazzbythesea.com,,,,From Living Blues Festival Guide 2026
660,Havila Blues Cruise 2026,"April 17-28, 2026",,"April-December, Cruises",Cruises,833.210.9067,www.havilavoyages.com/offers/blues-,,,,From Living Blues Festival Guide 2026
661,"Charleston, South Carolina",843.722.1122,,"Puerto Vallarta, Cruises",Cruises,800.258.3746,,,,,From Living Blues Festival Guide 2026
662,Sandy Beaches Cruise,"January 9-16, 2027",,"January 16-23, Cruises",Cruises,855.487.2639,,,,,From Living Blues Festival Guide 2026
663,"Fort Lauderdale, Florida to Half Moon Cay,",855.923.7222,Maarten,"Bahamas, Cruises",Cruises,,,,,,From Living Blues Festival Guide 2026
664,"Turks & Caicos, San Juan, Puerto Rico, and",800.258.3746,bluescruise.com,"Santo Domingo, Cruises",Cruises,,,,,,From Living Blues Festival Guide 2026
665,Billtown Blues Audition,2026,,"Pennsylvania, PA",PA,,https://www.billtownblues.org/2026-audition-concert-application,,,,PA-based blues musicians only
666,Cincy Blues Challenge,"Jun 14, 2026",,"Cincinnati, OH",OH,,https://cincyblues.org/2026/05/18/cincy-blues-challenge-call-for-entries-18/,,,,Emerging artists competition
667,Westsylvania Jazz & Blues Festival,2026,,PA,,,https://westsylvaniajazzandblues.org/news/star-call,,,,Student musicians grades 8-12
668,Wiregrass Blues Festival,"Mar 21, 2026",,"Dothan, AL",AL,,https://www.wiregrassbluesfestival.com/2026---13th-annual,,,,"13th annual, Crystal Shawanda headlining"
669,San Rafael PorchFest,"Sep 20, 2026",,"San Rafael, CA",CA,,https://www.sanrafaelporchfest.com/apply-to-perform,,,,Application open 3/15-6/15
670,Blues at Bridgetown,2026,,"Bridgetown, Australia",Australia,,https://wam.org.au/2026/03/11/blues-at-bridgetown-2026-artist-applications-open/,,,,Artist applications OPEN
671,Girrakool Blues Festival,"Feb 27 - Mar 1, 2026",,"Central Coast, Australia",Australia,,https://girrakoolblues.com.au/artist-applications/,,,,"8th annual, artist applications open"
672,Blues Aperitiv Competition,2026,,Czech Republic,,,https://www.bluesalive.cz/en/aperitiv-en/,,,,"27th edition, blues competition for new talents"
673,ABAS Blues Festival & Challenge,2026,,Greece,,,https://europeanbluesunion.com/abas-blues-festival-challenge-2026/,,,,"2nd edition, applications open"
